Date,Point,Weather,WaterTemp,Quantity,Comment,Tide,Time
2021-05-01,daikoku,晴,17.5,303.0,GW本番は天候に翻弄されるスタートとなりました。穏やかな晴天からスタートしたものの、気温が上がるにつれ強風が吹き出し、小雨の中、雷警報で一時避難となりました。釣果ですが、サビキ釣りのカタクチイワシやコノシロは数釣りが出来ていました。また濁り潮が入り出しアジも釣れていましたが、あいにくの天候で数は伸ばしきれませんでした。強風でシリヤケイカもアタリが取れなかったようです。明日も晴れますが、今日よりも風が強く吹く予報になっております。また天候も不安定なようですので、雨具(カッパ)や防風対策の用意があると安心です。,中潮,2021-05-01 19:45:00
2021-05-01,honmoku,晴,17.0,309.0,,中潮,2021-05-01 00:00:00
2021-05-01,isogo,晴,17.5,287.0,今日は、午後から雨が降り、強風や雷避難の心配もありました。,中潮,2021-05-01 18:35:00
2021-05-02,daikoku,晴,17.0,284.0,風が強く不安定なお天気の一日となりました。昼過ぎには一時強風のため避難をお願い致しました。御協力ありがとうございました。釣果も風で釣り難くあまり伸びませんでした。サビキ釣りでカタクチイワシ、コノシロが今日も好調に釣れています。手軽に釣れますのでファミリーや初心者の方におすすめです。（釣果表のサバの数が多くなっていますがほとんどが15cm以内の小鯖です）ゴールデンウィーク中は早い時間に「釣り方制限」になることが予想されます。ご了承下さい。,中潮,2021-05-02 19:35:00
2021-05-02,honmoku,晴,16.5,387.0,,中潮,2021-05-02 00:00:00
2021-05-02,isogo,晴,17.5,261.0,開場時より強風の一日となり、午後には一時釣り中止、避難にもなりました。15時頃から再開出来ましたが、南桟橋は一日釣り辛い状況が続き釣果に繋がりませんでした。今日ほどでは無いようですが、明日も強い風が吹く予報なのでご注意ください。釣果は南桟橋でアジ、イワシ、ウミタナゴ、カサゴ、コノシロ、メバル等が中央で、アジ、イワシ、コノシロ等が東桟橋では、カサゴ、クロダイ、コノシロ、メジナ、メバル等が釣れました。,中潮,2021-05-02 18:27:00
2021-05-03,daikoku,晴,17.0,399.0,今日の大黒は穏やかな晴天からスタートしたものの、お昼前から強い風が吹きましたが1日釣りを楽しんでいただけました。釣果ですが、サビキ釣りのカタクチイワシやコノシロは数釣りが出来て好調でした。また、釣れたイワシを餌にしてスズキやヒラメも釣れていました。そのほか、これからのターゲットとなりますイシモチやシロギスも姿を見せ始めました。明日は、1日好天に恵まれ最高気温も24℃まで上がる予報となっています。体温調整しやすい服装でお越し頂き、こまめに水分補給をしてください。,小潮,2021-05-03 19:45:00
2021-05-03,honmoku,晴,16.5,344.0,,小潮,2021-05-03 00:00:00
2021-05-03,isogo,晴,16.5,379.0,祝日（憲法記念日）の少し風の吹く釣り日和で多くのお客様にご来場頂きました。サビキ釣りのコノシロ・シコイワシが良く釣れていました。釣果は南桟橋でアジ、イワシ、ウミタナゴ、カレイ、コノシロ、サバ、フグ、メゴチ、メバルが中央でコノシロが東桟橋ではアジ、イシモチ、ウミタナゴ、カサゴ、カレイ、キジハタ、コノシロ、サバ、シロギス、ハゼ、フグ、メジナ、メバルが釣れました。,小潮,2021-05-03 18:28:00
2021-05-04,daikoku,晴,17.5,411.0,今日の大黒は、久しぶりに風もなく釣り日和となりました。釣果ですが、年間大物賞候補のタコ3.26圓釣れました。サビキ釣りのカタクチイワシやコノシロが本日も好調でした。その他では、スズキやヒラメが釣れ、シリヤケイカも数が伸びていました。明日は、午前中から南西の風が強く吹き、夕方からは雨の予報となっておりますので、体温調整しやすい服装と雨具の用意をお忘れなくお越し下さい。,小潮,2021-05-04 19:38:00
