Date,Point,Species,Count,SizeMin,SizeMax,WeightMin,WeightMax,Comment,Place
2021-05-01,daikoku,アジ,87,18.0,28.0,,,,
2021-05-01,daikoku,アナゴ,1,50.0,50.0,,,,
2021-05-01,daikoku,イシモチ,2,25.0,27.0,,,,
2021-05-01,daikoku,ウミタナゴ,1,15.0,15.0,,,,
2021-05-01,daikoku,カサゴ,41,16.0,20.0,,,,
2021-05-01,daikoku,カタクチイワシ,2540,10.0,15.0,,,,
2021-05-01,daikoku,クロダイ,3,36.0,43.0,,,,
2021-05-01,daikoku,コノシロ,145,20.0,30.0,,,,
2021-05-01,daikoku,サッパ,2,15.0,16.0,,,,
2021-05-01,daikoku,サヨリ,25,30.0,32.0,,,,
2021-05-01,daikoku,シリヤケイカ,3,,,0.4,0.6,,
2021-05-01,daikoku,シロギス,1,24.0,24.0,,,,
2021-05-01,daikoku,ヒラメ,1,34.0,34.0,,,,
2021-05-01,daikoku,フグ,4,20.0,30.0,,,,
2021-05-01,daikoku,フッコ,1,55.0,55.0,,,,
2021-05-01,daikoku,メゴチ,1,20.0,20.0,,,,
2021-05-01,daikoku,メジナ,8,22.0,27.0,,,,
2021-05-01,daikoku,メバル,9,20.0,25.0,,,,
2021-05-01,honmoku,アジ,114,15.0,28.0,,,,
2021-05-01,honmoku,アナゴ,1,60.0,60.0,,,,
2021-05-01,honmoku,イシモチ,2,15.0,20.0,,,,
2021-05-01,honmoku,イワシ,5666,10.0,15.0,,,,
2021-05-01,honmoku,ウミタナゴ,7,18.0,28.0,,,,
2021-05-01,honmoku,カサゴ,19,16.0,22.0,,,,
2021-05-01,honmoku,カレイ,1,18.0,18.0,,,,
2021-05-01,honmoku,クロダイ,2,45.0,50.0,,,,
2021-05-01,honmoku,コノシロ,74,25.0,32.0,,,,
2021-05-01,honmoku,サバ,10,15.0,30.0,,,,
2021-05-01,honmoku,サヨリ,14,25.0,40.0,,,,
2021-05-01,honmoku,シロギス,15,14.0,22.0,,,,
2021-05-01,honmoku,タコ,1,,,0.2,0.2,,
2021-05-01,honmoku,ハゼ,6,10.0,15.0,,,,
2021-05-01,honmoku,フグ,6,15.0,25.0,,,,
2021-05-01,honmoku,フッコ,1,59.0,59.0,,,,
2021-05-01,honmoku,ベラ,3,18.0,20.0,,,,
2021-05-01,honmoku,ボラ,3,15.0,20.0,,,,
2021-05-01,honmoku,メバル,24,18.0,27.0,,,,
2021-05-01,honmoku,ワニゴチ,1,30.0,30.0,,,,
2021-05-01,isogo,アジ,67,15.0,24.0,,,,
2021-05-01,isogo,イワシ,76,10.0,10.0,,,,
2021-05-01,isogo,ウミタナゴ,1,22.0,22.0,,,,
2021-05-01,isogo,カサゴ,8,15.0,25.0,,,,
2021-05-01,isogo,ギンポ,1,20.0,20.0,,,,
2021-05-01,isogo,クロダイ,1,24.0,24.0,,,,
2021-05-01,isogo,コノシロ,111,25.0,30.0,,,,
2021-05-01,isogo,シロギス,1,18.0,18.0,,,,
2021-05-01,isogo,ハゼ,3,8.0,10.0,,,,
2021-05-01,isogo,ベラ,3,15.0,22.0,,,,
2021-05-01,isogo,メゴチ,2,8.0,12.0,,,,
2021-05-01,isogo,メジナ,7,15.0,30.0,,,,
2021-05-01,isogo,メバル,7,16.0,20.0,,,,
2021-05-02,daikoku,アジ,44,15.0,20.0,,,,
2021-05-02,daikoku,イシモチ,1,31.0,31.0,,,,
2021-05-02,daikoku,ウミタナゴ,1,20.0,20.0,,,,
2021-05-02,daikoku,カサゴ,9,16.0,24.0,,,,
2021-05-02,daikoku,カタクチイワシ,3038,12.0,15.0,,,,
2021-05-02,daikoku,クロダイ,1,35.0,35.0,,,,
2021-05-02,daikoku,コノシロ,43,25.0,30.0,,,,
2021-05-02,daikoku,サバ,24,15.0,30.0,,,,
2021-05-02,daikoku,サヨリ,2,25.0,30.0,,,,
2021-05-02,daikoku,シリヤケイカ,1,,,0.8,0.8,,
2021-05-02,daikoku,シロギス,1,17.0,17.0,,,,
2021-05-02,daikoku,ハゼ,1,6.0,6.0,,,,
2021-05-02,daikoku,メジナ,6,25.0,31.0,,,,
2021-05-02,daikoku,メバル,4,16.0,23.0,,,,
2021-05-02,honmoku,アジ,91,15.0,24.0,,,,
2021-05-02,honmoku,アナゴ,2,30.0,46.0,,,,
2021-05-02,honmoku,イシモチ,3,25.0,25.0,,,,
2021-05-02,honmoku,イワシ,8998,10.0,15.0,,,,
2021-05-02,honmoku,ウミタナゴ,3,15.0,22.0,,,,
2021-05-02,honmoku,カサゴ,21,18.0,28.0,,,,
2021-05-02,honmoku,カワハギ,1,16.0,16.0,,,,
2021-05-02,honmoku,クロダイ,4,38.0,45.0,,,,
2021-05-02,honmoku,コノシロ,109,15.0,30.0,,,,
2021-05-02,honmoku,サバ,16,15.0,40.0,,,,
2021-05-02,honmoku,サヨリ,13,20.0,40.0,,,,
2021-05-02,honmoku,シリヤケイカ,1,,,0.8,0.8,,
2021-05-02,honmoku,シロギス,7,12.0,22.0,,,,
2021-05-02,honmoku,スズキ,1,68.0,68.0,,,,
2021-05-02,honmoku,ハゼ,4,10.0,12.0,,,,
2021-05-02,honmoku,フグ,4,15.0,30.0,,,,
2021-05-02,honmoku,フッコ,3,42.0,47.0,,,,
2021-05-02,honmoku,ベラ,4,15.0,20.0,,,,
2021-05-02,honmoku,メゴチ,10,10.0,12.0,,,,
2021-05-02,honmoku,メバル,10,18.0,23.0,,,,
